"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,102741,CME ,00,102 ,   61549,     169,   44669,       0,   51657,    2506,      33,    5140,   10658,      26,    1246,    1962,       0,   58271,   59854,    3278,    1695,   -9955,      10,   -6854,   -3009,     857,    -162,      33,   -5228,    1883,   -1384,    -686,    -202,       0,   -9407,   -9695,    -548,    -260,  100.0,    0.3,   72.6,    0.0,   83.9,    4.1,    0.1,    8.4,   17.3,    0.0,    2.0,    3.2,    0.0,   94.7,   97.2,    5.3,    2.8,     65,.,      4,      0,     15,      5,.,     14,     12,.,      6,      8,      0,     37,     30,    77.5,    74.5,    84.1,    84.4,    77.5,    74.5,    84.1,    84.3,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,112741,CME ,00,112 ,   50844,   26066,    3936,      28,    3971,   20760,      97,   17001,   18749,     380,     851,    1175,      27,   48421,   45152,    2423,    5692,    4334,    9034,     -92,      28,     163,    1258,    -121,   -4689,    2507,     101,      61,     162,    -148,    4429,    3695,     -95,     639,  100.0,   51.3,    7.7,    0.1,    7.8,   40.8,    0.2,   33.4,   36.9,    0.7,    1.7,    2.3,    0.1,   95.2,   88.8,    4.8,   11.2,    101,     11,.,.,      7,     24,      4,     21,     26,      6,.,      6,.,     49,     64,    48.4,    38.1,    64.3,    52.7,    48.4,    38.1,    64.3,    52.7,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"SO AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,122741,CME ,00,122 ,   21663,       0,   11709,      16,   18346,    1904,     213,    1282,    5249,     864,       0,       0,       0,   20721,   19955,     942,    1708,   -3657,       0,    -153,      16,   -3704,     672,     213,    -264,   -4530,     277,    -222,       0,       0,   -3684,   -3505,      27,    -152,  100.0,    0.0,   54.1,    0.1,   84.7,    8.8,    1.0,    5.9,   24.2,    4.0,    0.0,    0.0,    0.0,   95.7,   92.1,    4.3,    7.9,     29,      0,      4,.,      5,      4,.,      7,      9,.,      0,      0,      0,     15,     19,    84.7,    64.9,    91.5,    80.2,    83.4,    64.8,    88.7,    78.8,"(CONTRACTS OF ZAR 500,000)","122741","CME ","122 ","F15","FutOnly"
"DJIA Consolidated - CHICAGO BOARD OF TRADE",220503,2022-05-03,12460+,CBT ,00,124 ,   39724,   20219,   10262,     342,    2456,    6911,     835,    8472,    6283,     192,     852,    8611,       0,   33366,   33435,    6359,    6289,   -2508,     -93,     402,     -22,   -1033,   -1247,     497,    -267,    -989,    -358,    -713,     -93,       0,   -1987,   -1809,    -521,    -699,  100.0,   50.9,   25.8,    0.9,    6.2,   17.4,    2.1,   21.3,   15.8,    0.5,    2.1,   21.7,    0.0,   84.0,   84.2,   16.0,   15.8,     88,     14,     12,.,     10,     11,      5,     14,     21,      4,.,.,      0,     46,     54,    42.0,    37.2,    54.6,    50.1,    41.9,    37.2,    54.1,    50.1,"($10 X DJIA INDEX)","12460+","CBT ","124 ","F20","FutOnly"
"DJIA x $5 - CHICAGO BOARD OF TRADE",220503,2022-05-03,124603,CBT ,00,124 ,   79448,   40437,   20524,     683,    4912,   13822,    1670,   16943,   12566,     383,    1703,   17222,       0,   66731,   66870,   12717,   12578,   -5015,    -185,     804,     -43,   -2065,   -2493,     993,    -533,   -1977,    -715,   -1426,    -186,       0,   -3974,   -3617,   -1041,   -1398,  100.0,   50.9,   25.8,    0.9,    6.2,   17.4,    2.1,   21.3,   15.8,    0.5,    2.1,   21.7,    0.0,   84.0,   84.2,   16.0,   15.8,     88,     14,     12,.,     10,     11,      5,     14,     21,      4,.,.,      0,     46,     54,    42.0,    37.2,    54.6,    50.1,    41.9,    37.2,    54.1,    50.1,"($5 X DJIA INDEX)","124603","CBT ","124 ","F20","FutOnly"
"DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE",220503,2022-05-03,124606,CBT ,00,124 ,   39035,   21249,   30119,       0,   10343,    4109,    1105,    2495,    2708,      13,       0,       0,       0,   35205,   38054,    3830,     981,   -1146,    2735,     -38,       0,   -2629,    1236,   -1848,     152,    -706,      13,       0,       0,       0,   -1577,   -1343,     431,     197,  100.0,   54.4,   77.2,    0.0,   26.5,   10.5,    2.8,    6.4,    6.9,    0.0,    0.0,    0.0,    0.0,   90.2,   97.5,    9.8,    2.5,     30,      5,      5,      0,     14,.,.,.,.,.,      0,      0,      0,     23,     11,    55.7,    86.3,    69.4,    96.2,    55.7,    84.7,    69.0,    94.6,"($100 X DJ US REAL ESTATE INDEX)","124606","CBT ","124 ","F20","FutOnly"
"S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874+,CME ,00,138 ,  441735,   44620,   65612,    7635,  191620,  118431,   59174,   52227,   68928,   10865,   26313,   63129,     277,  392731,  394049,   49003,   47685,    3396,   -1315,  -17056,    -110,    4559,    3354,    -863,    2358,   17714,    -489,     872,    3160,    -161,    4849,    5548,   -1454,   -2152,  100.0,   10.1,   14.9,    1.7,   43.4,   26.8,   13.4,   11.8,   15.6,    2.5,    6.0,   14.3,    0.1,   88.9,   89.2,   11.1,   10.8,    527,     36,     35,     25,    144,     98,    116,     72,     78,     54,     28,     36,      5,    368,    359,    14.2,    23.3,    19.9,    30.0,    11.9,    21.4,    17.0,    27.4,"(S&P 500 INDEX X $250.00)","13874+","CME ","138 ","F20","FutOnly"
"E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,138748,CME ,00,138 ,   18084,    1794,   15351,       0,   11948,     581,      99,    1201,     948,       0,       0,       0,       0,   15042,   16979,    3042,    1105,    2179,    -200,    2353,       0,    3609,    -100,       0,     312,       9,       0,       0,       0,       0,    3721,    2262,   -1542,     -83,  100.0,    9.9,   84.9,    0.0,   66.1,    3.2,    0.5,    6.6,    5.2,    0.0,    0.0,    0.0,    0.0,   83.2,   93.9,   16.8,    6.1,     25,.,     10,      0,      7,.,.,.,.,      0,      0,      0,      0,     10,     16,    48.4,    62.7,    78.4,    81.2,    48.4,    62.7,    78.4,    81.2,"($100 x S&P Select Sector Consumer Staples Index price)","138748","CME ","138 ","F20","FutOnly"
"E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,138749,CME ,00,138 ,   43957,   10752,   39451,       0,   19592,    1881,       0,    6995,    1330,       0,       0,       0,       0,   37339,   42662,    6618,    1295,    4129,       0,    2644,       0,    1685,     903,       0,     493,    1087,       0,       0,       0,       0,    2178,    4634,    1951,    -505,  100.0,   24.5,   89.7,    0.0,   44.6,    4.3,    0.0,   15.9,    3.0,    0.0,    0.0,    0.0,    0.0,   84.9,   97.1,   15.1,    2.9,     37,.,     10,      0,     15,.,      0,      7,.,      0,      0,      0,      0,     24,     13,    51.3,    71.1,    66.3,    87.9,    51.3,    71.1,    66.3,    87.9,"($100 x S&P Select Sector Energy Index price)","138749","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874A,CME ,00,138 , 2208674,  223101,  328059,   38177,  958101,  592155,  295868,  261137,  344638,   54324,  131566,  315643,    1383, 1963657, 1970247,  245017,  238427,   16978,   -6577,  -85280,    -552,   22793,   16769,   -4313,   11788,   88569,   -2446,    4360,   15798,    -806,   24247,   27739,   -7269,  -10761,  100.0,   10.1,   14.9,    1.7,   43.4,   26.8,   13.4,   11.8,   15.6,    2.5,    6.0,   14.3,    0.1,   88.9,   89.2,   11.1,   10.8,    527,     36,     35,     25,    144,     98,    116,     72,     78,     54,     28,     36,      5,    368,    359,    14.2,    23.3,    19.9,    30.0,    11.9,    21.4,    17.0,    27.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P FINANCIAL INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874C,CME ,00,138 ,   28430,   20591,   23403,       0,    4869,    1720,       0,     612,    2227,       0,       0,       0,       0,   26072,   27350,    2358,    1080,     965,     999,     824,       0,     237,     805,    -330,     119,    -642,       0,       0,       0,       0,    1025,     657,     -60,     308,  100.0,   72.4,   82.3,    0.0,   17.1,    6.0,    0.0,    2.2,    7.8,    0.0,    0.0,    0.0,    0.0,   91.7,   96.2,    8.3,    3.8,     27,      6,      6,      0,      7,.,      0,.,      4,      0,      0,      0,      0,     15,     12,    73.3,    75.1,    85.5,    91.1,    73.3,    75.1,    85.5,    91.1,"($250 x S&P Select Sector Financial Index price)","13874C","CME ","138 ","F20","FutOnly"
"E-MINI S&P HEALTH CARE INDEX - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,13874E,CME ,00,138 ,   20829,    1393,   19890,       0,   13643,       0,       0,    1946,       0,       0,       0,       0,       0,   16982,   19890,    3847,     939,    -420,       0,    -536,       0,     126,       0,       0,    -498,       0,       0,       0,       0,       0,    -372,    -536,     -48,     116,  100.0,    6.7,   95.5,    0.0,   65.5,    0.0,    0.0,    9.3,    0.0,    0.0,    0.0,    0.0,    0.0,   81.5,   95.5,   18.5,    4.5,     23,.,      9,      0,      9,      0,      0,.,      0,      0,      0,      0,      0,     14,      9,    54.7,    70.1,    71.6,    93.8,    54.7,    70.1,    71.6,    93.8,"($100 x S&P Select Sector Health Care Index price)","13874E","CME ","138 ","F20","FutOnly"
